"","x"
"1171","ANKS1A"
"1172","BTAF1"
"1173","C5orf42"
"1174","CCDC77"
"1175","CYP2A6"
"1176","EFHC1"
"1177","BRINP3"
"1178","FLG2"
"1179","GALNT6"
"1180","GNS"
"1181","GPAA1"
"1182","HIST1H2BD"
"1183","HPS5"
"1184","HRH1"
"1185","HTR1B"
"1186","JMJD6"
"1187","KAT2A"
"1188","MLK4"
"1189","KIDINS220"
"1190","LZTR1"
"1191","MAGEE1"
"1192","MCF2"
"1193","MED26"
"1194","NOL6"
"1195","NPAS4"
"1196","PCDHGA9"
"1197","PLEKHA6"
"1198","PXDC1"
"1199","RBFOX1"
"1200","RBM14"
"1201","RUSC1"
"1202","TLE2"
"1203","USP34"
"1204","WBSCR17"
"1205","ZFAT"
"1206","ZNF335"
"1207","ZNF594"
"1208","NUTM1"
"1209","CLCN1"
"1210","CRIM1"
"1211","DUOX2"
"1212","FMN2"
"1213","KCNH4"
"1214","TNNI3K"
"1215","GPC4"
"1216","IPO9"
"1217","KIAA0754"
"1218","PRKAA2"
"1219","SCPEP1"
"1220","SLC6A17"
"1221","ZRANB2"
"1222","ABCA3"
"1223","ABCA7"
"1224","ADCY8"
"1225","AMOT"
"1226","BTRC"
"1227","C14orf93"
"1228","C1QTNF4"
"1229","CADPS"
"1230","CD248"
"1231","CD79A"
"1232","CLASP1"
"1233","COL5A1"
"1234","DQX1"
"1235","EFCAB13"
"1236","EPHA2"
"1237","FAM178A"
"1238","FARS2"
"1239","GBX2"
"1240","GPR179"
"1241","HIST1H2BH"
"1242","IKBKAP"
"1243","LAS1L"
"1244","LRAT"
"1245","MCF2L2"
"1246","PCDH9"
"1247","PCDHA7"
"1248","PCDHAC2"
"1249","PCDHB5"
"1250","PIBF1"
"1251","PKP4"
"1252","PLXNB1"
"1253","PRKD1"
"1254","RBM46"
"1255","RGS7"
"1256","RIMS2"
"1257","RLF"
"1258","SIK3"
"1259","STK39"
"1260","TNFAIP6"
"1261","TRIP10"
"1262","UBE3B"
"1263","ZNF516"
"1264","ZNF831"
"1265","ACAP3"
"1266","ADAMTS17"
"1267","AHCTF1"
"1268","CASZ1"
"1269","FSTL5"
"1270","HIST1H2BG"
"1271","ITPR2"
"1272","LLGL1"
"1273","LRRCC1"
"1274","MSH2"
"1275","MYBBP1A"
"1276","NCOA6"
"1277","PASD1"
"1278","PCDHB11"
"1279","RASGRF1"
"1280","RXFP2"
"1281","SPTB"
"1282","TPCN1"
"1283","USP19"
"1284","ZNF521"
"1285","ZNF527"
"1286","ZNF799"
"1287","C11orf82"
"1288","CABIN1"
"1289","CCNB3"
"1290","COBLL1"
"1291","DPYSL3"
"1292","FOS"
"1293","GEMIN5"
"1294","GPR123"
"1295","GTF2E1"
"1296","ITGA2B"
"1297","LDB1"
"1298","PNLDC1"
"1299","PNMAL1"
"1300","SRGAP1"
"1301","TRIO"
"1302","XKRX"
"1303","ZNF106"
"1304","ASTN1"
"1305","COL19A1"
"1306","ERP29"
"1307","JMJD1C"
"1308","MYO5A"
"1309","OVCH1"
"1310","PLEKHO2"
"1311","RNF219"
"1312","TEX10"
"1313","WDR60"
"1314","ZNF175"
"1315","ZNF830"
"1316","PIAS3"
"1317","ABCC8"
"1318","ABCD4"
"1319","ACOT12"
"1320","ADH4"
"1321","AGAP2"
"1322","AKAP8"
"1323","AKNA"
"1324","ALDH1A2"
"1325","APOA4"
"1326","APPL2"
"1327","ASPH"
"1328","BAZ2B"
"1329","BCOR"
"1330","BICD2"
"1331","C17orf75"
"1332","CACNA2D1"
"1333","CALD1"
"1334","CAPN3"
"1335","CCDC15"
"1336","CD226"
"1337","CFTR"
"1338","CIZ1"
"1339","COLEC12"
"1340","CORO7"
"1341","CRNKL1"
"1342","CYP1A2"
"1343","DDX46"
"1344","DIEXF"
"1345","DMXL2"
"1346","DNAH8"
"1347","DNAJB1"
"1348","DNM1L"
"1349","DUSP27"
"1350","EFTUD1"
